Group num: 0, TC(X;Y_j): 3.866
organic, 0.096, 10.000, 0.958
refill, 0.018, 10.000, 0.179
biodegradable, 0.016, 10.000, 0.159
reusable, 0.014, 10.000, 0.138
sustainable, 0.006, 10.000, 0.056
note, 0.036, 1.000, 0.036
eco, 0.004, 10.000, 0.036
affect, 0.035, 1.000, 0.035
fragrance, 0.035, 1.000, 0.035
sandalwood, 0.034, 1.000, 0.034
certified, 0.033, 1.000, 0.033
instance, 0.028, 1.000, 0.028
similarly, 0.028, 1.000, 0.028
oilyskin, 0.028, 1.000, 0.028
alter, 0.028, 1.000, 0.028
whenapplyingany, 0.028, 1.000, 0.028
consider, 0.028, 1.000, 0.028
chemistry, 0.027, 1.000, 0.027
turn, 0.027, 1.000, 0.027
current, 0.025, 1.000, 0.025
jasmine, 0.024, 1.000, 0.024
mood, 0.024, 1.000, 0.024
lavender, 0.021, 1.000, 0.021
bergamot, 0.020, 1.000, 0.020
rose, 0.018, 1.000, 0.018
flower, 0.017, 1.000, 0.017
medication, 0.016, 1.000, 0.016
luxury, 0.016, 1.000, 0.016
conservation, 0.002, 10.000, 0.015
body, 0.015, 1.000, 0.015
soap, 0.015, 1.000, 0.015
base, 0.014, 1.000, 0.014
stress, 0.014, 1.000, 0.014
orange, 0.013, 1.000, 0.013
floral, 0.013, 1.000, 0.013
comprised, 0.012, 1.000, 0.012
methylparaben, 0.012, 1.000, 0.012
woven, 0.012, 1.000, 0.012
seductive, 0.012, 1.000, 0.012
exotic, 0.012, 1.000, 0.012
absorbent, 0.012, 1.000, 0.012
native, 0.010, 1.000, 0.010
aquis, 0.010, 1.000, 0.010
roller, 0.010, 1.000, 0.010
capturing, 0.010, 1.000, 0.010
released, 0.010, 1.000, 0.010
nearly, 0.010, 1.000, 0.010
africa, 0.010, 1.000, 0.010
anytime, 0.009, 1.000, 0.009
bar, 0.009, 1.000, 0.009
sweet, 0.008, 1.000, 0.008
mandarin, 0.008, 1.000, 0.008
ylang, 0.008, 1.000, 0.008
venus, 0.008, 1.000, 0.008
lemon, 0.008, 1.000, 0.008
labor, 0.008, 1.000, 0.008
dissolve, 0.008, 1.000, 0.008
summer, 0.008, 1.000, 0.008
technique, 0.008, 1.000, 0.008
wt, 0.008, 1.000, 0.008
petal, 0.008, 1.000, 0.008
unmistakably, 0.008, 1.000, 0.008
heliotrope, 0.008, 1.000, 0.008
middle, 0.008, 1.000, 0.008
christian, 0.008, 1.000, 0.008
bean, 0.008, 1.000, 0.008
